18:54:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 53] Logger initialized
18:54:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=4.00
18:54:48: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=1.00
18:54:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.67
18:54:49: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.50
18:54:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.40
18:54:50: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.33
18:54:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.29
18:54:51: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=2.50, z=0.25
18:54:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=4.44, z=0.22
18:54:52: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=6.00, z=0.20
18:54:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=1.82, y=5.45, z=0.18
18:54:53: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=3.33, y=5.00, z=0.17
18:54:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=4.62, y=4.62, z=0.15
18:54:54: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=4.29, y=2.86, z=0.14
18:54:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=4.00, y=1.33, z=0.13
18:54:55: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=3.75, y=0.00, z=0.12
18:54:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=2.35, y=0.00, z=0.12
18:54:56: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=1.11, y=0.00, z=0.11
18:54:57: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=0.00, z=0.11
18:54:57: [INFO] [/Users/shaafshoaib/Desktop/WARG-Work/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 84] Average Velocity: x=0.00, y=1.00, z=0.10
