13:06:25: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
13:06:25: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
13:06:26: [WARNING] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 105] Warning: missed 1 heartbeat(s)
13:06:26: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
13:06:26: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
13:06:27: [WARNING] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 105] Warning: missed 1 heartbeat(s)
13:06:27: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
13:06:28: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
13:06:29: [WARNING] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 105] Warning: missed 1 heartbeat(s)
13:06:29: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
13:06:30: [WARNING] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver.py | run | 105] Warning: missed 2 heartbeat(s)
13:06:30: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/heartbeat/heartbeat_receiver_worker.py | heartbeat_receiver_worker | 86] Status: Connected
