13:06:09: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
13:06:09: [INFO] [<string> | <module> | 24] Connected!
13:06:09: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:10: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:11: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:11: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:12: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:12: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:13: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:13: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:14: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:15: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:16: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:17: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:18: [INFO] [<string> | read_queue | 39] Queue: Disconnected
13:06:19: [INFO] [<string> | read_queue | 39] Queue: Disconnected
13:06:20: [INFO] [<string> | read_queue | 39] Queue: Disconnected
13:06:21: [INFO] [<string> | read_queue | 39] Queue: Disconnected
13:06:22: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:23: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:23: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:24: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:24: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:25: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:25: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:26: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:26: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:27: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:28: [INFO] [<string> | read_queue | 39] Queue: Connected
13:06:29: [INFO] [<string> | read_queue | 39] Queue: Connected
