17:19:07: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 60] Logger initialized
17:19:07: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 4.00)
17:19:07: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE ALTITUDE: 1
17:19:08: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 1.00)
17:19:08: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE ALTITUDE: -1
17:19:08: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.67)
17:19:09: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.50)
17:19:09: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.40)
17:19:10: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.33)
17:19:10: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.29)
17:19:11: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 2.50, 0.25)
17:19:11: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 63.43494882292201
17:19:11: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 4.44, 0.22)
17:19:11: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 90.0
17:19:12: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 6.00, 0.20)
17:19:12: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 116.56505117707799
17:19:12: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (1.82, 5.45, 0.18)
17:19:12: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 45.0
17:19:13: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (3.33, 5.00, 0.17)
17:19:13: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 63.43494882292201
17:19:13: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (4.62, 4.62, 0.15)
17:19:13: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 90.0
17:19:14: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (4.29, 2.86, 0.14)
17:19:14: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 26.565051177077994
17:19:14: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (4.00, 1.33, 0.13)
17:19:14: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 45.0
17:19:15: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (3.75, 0.00, 0.12)
17:19:15: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 90.0
17:19:15: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (2.35, 0.00, 0.12)
17:19:15: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 45.0
17:19:16: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (1.11, 0.00, 0.11)
17:19:16: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 90.0
17:19:16: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 0.00, 0.11)
17:19:16: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: 135.0
17:19:17: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 1.00, 0.10)
17:19:17: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: -26.565051177077994
17:19:17: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 1.90, 0.10)
17:19:17: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: -45.0
17:19:18: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.00, 2.73, 0.09)
17:19:18: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: -90.0
17:19:18: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (0.87, 2.61, 0.09)
17:19:18: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: -45.0
17:19:19: [INFO] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 99] Average velocity: (1.67, 2.50, 0.08)
17:19:19: [DEBUG] [/Users/rickytang/Coding/github/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 100] Command: CHANGE YAW: -90.0
